ProcessNum, Sample, Priority, Elapsed_Time_Microseconds
0, 1, -10, 300000
0, 2, -10, 333333
0, 3, -10, 300000
0, 4, -10, 300000
0, 5, -10, 300000
0, 6, -10, 300000
0, 7, -10, 300000
0, 8, -10, 300000
0, 9, -10, 300000
0, 10, -10, 250000
0, 11, -10, 333333
0, 12, -10, 333334
0, 13, -10, 300000
0, 14, -10, 300000
0, 15, -10, 333334
0, 16, -10, 283333
0, 17, -10, 316667
0, 18, -10, 300000
0, 19, -10, 300000
0, 20, -10, 300000
0, 21, -10, 333333
0, 22, -10, 300000
0, 23, -10, 333334
0, 24, -10, 300000
0, 25, -10, 300000
0, 26, -10, 300000
0, 27, -10, 316666
0, 28, -10, 333333
0, 29, -10, 283334
0, 30, -10, 250000
1, 1, 0, 450000
1, 2, 0, 466667
1, 3, 0, 466666
1, 4, 0, 466667
1, 5, 0, 450000
1, 6, 0, 466666
1, 7, 0, 466667
1, 8, 0, 466667
1, 9, 0, 466667
1, 10, 0, 466667
1, 11, 0, 466666
1, 12, 0, 466667
1, 13, 0, 483333
1, 14, 0, 416667
1, 15, 0, 466667
1, 16, 0, 450000
1, 17, 0, 483333
1, 18, 0, 466667
1, 19, 0, 466667
1, 20, 0, 450000
1, 21, 0, 466667
1, 22, 0, 466666
1, 23, 0, 466667
1, 24, 0, 483333
1, 25, 0, 466667
1, 26, 0, 466667
1, 27, 0, 466666
1, 28, 0, 483333
1, 29, 0, 450000
1, 30, 0, 483334
2, 1, 10, 466667
2, 2, 10, 466667
2, 3, 10, 466666
2, 4, 10, 466667
2, 5, 10, 466667
2, 6, 10, 466666
2, 7, 10, 466667
2, 8, 10, 483333
2, 9, 10, 466667
2, 10, 10, 466667
2, 11, 10, 466666
2, 12, 10, 466667
2, 13, 10, 483333
2, 14, 10, 450000
2, 15, 10, 466667
2, 16, 10, 450000
2, 17, 10, 483333
2, 18, 10, 466667
2, 19, 10, 483333
2, 20, 10, 466667
2, 21, 10, 466667
2, 22, 10, 466666
2, 23, 10, 466667
2, 24, 10, 483333
2, 25, 10, 466667
2, 26, 10, 466667
2, 27, 10, 483333
2, 28, 10, 483333
2, 29, 10, 450000
2, 30, 10, 483334
