ThreadNum, Sample, Policy, Priority, Elapsed_Time_Microseconds
1, 0, SCHED_FIFO, 50, 118880022
2, 0, SCHED_FIFO, 50, 119015968
3, 0, SCHED_RR, 50, 118557940
4, 0, SCHED_RR, 50, 124478019
1, 1, SCHED_FIFO, 0, 0
2, 1, SCHED_FIFO, 0, 0
3, 1, SCHED_RR, 99, 118756851
4, 1, SCHED_RR, 99, 118755825
1, 2, SCHED_FIFO, 99, 124287192
2, 2, SCHED_FIFO, 99, 118741264
3, 2, SCHED_RR, 0, 0
4, 2, SCHED_RR, 0, 0
1, 3, SCHED_FIFO, 90, 123841386
2, 3, SCHED_FIFO, 10, 124220335
3, 3, SCHED_RR, 90, 118288290
4, 3, SCHED_RR, 10, 119259320
1, 4, SCHED_FIFO, 20, 118769747
2, 4, SCHED_FIFO, 20, 118301747
3, 4, SCHED_RR, 80, 124341995
4, 4, SCHED_RR, 80, 118675859
1, 5, SCHED_FIFO, 80, 123479112
2, 5, SCHED_FIFO, 80, 118499236
3, 5, SCHED_RR, 20, 118869569
4, 5, SCHED_RR, 20, 118771618
